Time,HeadPosx,HeadPosy,HeadPosz,rewardx,rewardz
14:52:52:697,-5.576262,1.321442,-1.385539,,
14:52:52:729,-5.563468,1.339765,-1.387577,,
14:52:52:763,-5.548524,1.358979,-1.38993,,
14:52:52:797,-5.532211,1.377002,-1.392297,,
14:52:52:830,-5.513683,1.394712,-1.394662,,
14:52:52:863,-5.492952,1.410896,-1.396917,,
14:52:52:897,-5.471293,1.425533,-1.399069,,
14:52:52:930,-5.449564,1.438551,-1.401004,,
14:52:52:963,-5.428075,1.449585,-1.402966,,
14:52:52:997,-5.408369,1.459947,-1.405191,,
14:52:53:030,-5.388268,1.46937,-1.407908,,
14:52:53:064,-5.369683,1.478652,-1.410734,,
14:52:53:097,-5.351632,1.486753,-1.413761,,
14:52:53:130,-5.333033,1.494071,-1.417357,,
14:52:53:164,-5.313776,1.500192,-1.421547,,
14:52:53:197,-5.294111,1.50538,-1.426226,,
14:52:53:231,-5.273957,1.509859,-1.431486,,
14:52:53:264,-5.253794,1.513885,-1.437277,,
14:52:53:298,-5.233989,1.51693,-1.443332,,
14:52:53:331,-5.214332,1.518738,-1.449355,,
14:52:53:364,-5.194676,1.51933,-1.455249,,
14:52:53:398,-5.17528,1.519346,-1.461189,,
14:52:53:431,-5.157074,1.519992,-1.467184,,
14:52:53:465,-5.140203,1.521093,-1.473064,,
14:52:53:498,-5.1245,1.522729,-1.478806,,
14:52:53:531,-5.109074,1.523879,-1.48426,,
14:52:53:564,-5.094511,1.524703,-1.489228,,
14:52:53:598,-5.081207,1.525651,-1.49374,,
14:52:53:631,-5.068391,1.526151,-1.497637,,
14:52:53:665,-5.055783,1.526724,-1.501235,,
14:52:53:698,-5.043565,1.526959,-1.503992,,
14:52:53:731,-5.031993,1.527385,-1.50598,,
14:52:53:765,-5.020909,1.52806,-1.507443,,
14:52:53:799,-5.009921,1.529318,-1.50853,,
14:52:53:832,-5.000071,1.53074,-1.509196,,
14:52:53:865,-4.990676,1.532361,-1.509881,,
14:52:53:899,-4.982176,1.533971,-1.510496,,
14:52:53:932,-4.974594,1.535363,-1.511038,,
14:52:53:965,-4.967914,1.536442,-1.511313,,
14:52:53:999,-4.961605,1.537196,-1.511743,,
14:52:54:032,-4.956139,1.537541,-1.511696,,
14:52:54:065,-4.951149,1.537722,-1.511374,,
14:52:54:099,-4.946424,1.537673,-1.511112,,
14:52:54:132,-4.942269,1.537503,-1.510737,,
14:52:54:165,-4.938546,1.537345,-1.51035,,
14:52:54:199,-4.935015,1.537256,-1.510027,,
14:52:54:232,-4.931834,1.537366,-1.509669,,
14:52:54:265,-4.929097,1.537586,-1.509319,,
14:52:54:299,-4.926791,1.537997,-1.508896,,
14:52:54:333,-4.924804,1.538379,-1.508298,,
14:52:54:365,-4.923128,1.538645,-1.507892,,
14:52:54:399,-4.921687,1.538597,-1.50761,,
14:52:54:432,-4.920763,1.538739,-1.507527,,
14:52:54:467,-4.92022,1.539028,-1.507652,,
14:52:54:500,-4.920181,1.539917,-1.507927,,
14:52:54:534,-4.920648,1.541583,-1.508334,,
14:52:54:566,-4.921519,1.543632,-1.50876,,
14:52:54:600,-4.92242,1.5461,-1.509356,,
14:52:54:633,-4.923563,1.548595,-1.509994,,
14:52:54:667,-4.9248,1.550925,-1.510463,,
14:52:54:701,-4.926041,1.553185,-1.511002,,
14:52:54:734,-4.927305,1.555349,-1.511481,,
14:52:54:767,-4.928807,1.557522,-1.511954,,
14:52:54:800,-4.930169,1.55938,-1.512695,,
14:52:54:834,-4.931892,1.561066,-1.513644,,
14:52:54:867,-4.934021,1.562528,-1.514822,,
14:52:54:900,-4.936426,1.563517,-1.516148,,
14:52:54:934,-4.939503,1.564351,-1.51743,,
14:52:54:968,-4.943385,1.565178,-1.518528,,
14:52:55:001,-4.948,1.565266,-1.519563,,
14:52:55:034,-4.953739,1.565336,-1.520465,,
14:52:55:067,-4.960502,1.565526,-1.521373,,
14:52:55:100,-4.968661,1.565651,-1.522207,,
14:52:55:135,-4.978557,1.566136,-1.523019,,
14:52:55:168,-4.989737,1.566622,-1.523895,,
14:52:55:202,-5.002754,1.567724,-1.524814,,
14:52:55:234,-5.017662,1.569058,-1.525932,,
14:52:55:270,-5.034586,1.570635,-1.527439,,
14:52:55:302,-5.053405,1.572179,-1.529201,,
14:52:55:335,-5.074367,1.573532,-1.531122,,
14:52:55:368,-5.097261,1.574217,-1.533246,,
14:52:55:401,-5.121012,1.574804,-1.53544,,
14:52:55:435,-5.146362,1.574774,-1.537591,,
14:52:55:468,,,,,
14:52:55:468,,,,,
14:52:55:469,-5.171338,1.574075,-1.539768,,
14:52:55:502,-5.196341,1.572938,-1.542253,,
14:52:55:535,-5.220908,1.57125,-1.544974,,
14:52:55:568,-5.244246,1.56933,-1.547807,,
14:52:55:602,-5.266354,1.567073,-1.550943,,
14:52:55:635,-5.286501,1.564329,-1.554342,,
14:52:55:668,-5.30406,1.561389,-1.557506,,
14:52:55:703,-5.319053,1.558603,-1.560896,,
14:52:55:736,-5.3308,1.556343,-1.564251,,
14:52:55:769,-5.338499,1.555462,-1.567555,,
14:52:55:802,-5.342142,1.555886,-1.570562,,
14:52:55:836,-5.343477,1.557857,-1.573631,,
14:52:55:869,-5.34219,1.560535,-1.575915,,
14:52:55:902,-5.33944,1.563748,-1.577373,,
14:52:55:936,-5.335536,1.56692,-1.57829,,
14:52:55:969,-5.330617,1.569997,-1.578896,,
14:52:56:003,-5.32506,1.572847,-1.579608,,
14:52:56:036,-5.31884,1.575599,-1.580038,,
14:52:56:069,-5.31132,1.578396,-1.580446,,
14:52:56:103,-5.30234,1.581209,-1.581231,,
14:52:56:136,-5.291893,1.584092,-1.582542,,
14:52:56:169,-5.279409,1.586465,-1.584229,,
14:52:56:203,-5.266561,1.588741,-1.586437,,
14:52:56:236,-5.251811,1.589975,-1.589197,,
14:52:56:270,-5.23574,1.590235,-1.59245,,
14:52:56:303,-5.217771,1.589494,-1.596389,,
14:52:56:336,-5.198828,1.587938,-1.600787,,
14:52:56:370,-5.178016,1.586174,-1.60573,,
14:52:56:403,-5.157344,1.583525,-1.611268,,
14:52:56:436,-5.136362,1.580563,-1.616876,,
14:52:56:470,-5.114894,1.577084,-1.623074,,
14:52:56:503,-5.094976,1.57354,-1.629653,,
14:52:56:523,-5.083125,1.571305,-1.633744,,
14:52:56:553,-5.066471,1.568105,-1.640172,,
14:52:56:586,-5.049099,1.564691,-1.647958,,
14:52:56:620,-5.032575,1.561478,-1.656203,,
14:52:56:653,-5.017146,1.558686,-1.665155,,
14:52:56:686,-5.002639,1.556672,-1.674818,,
14:52:56:720,-4.989528,1.555501,-1.684664,,
14:52:56:753,-4.977314,1.55469,-1.695014,,
14:52:56:786,-4.966401,1.554206,-1.705517,,
14:52:56:820,-4.956521,1.553998,-1.716751,,
14:52:56:853,-4.948101,1.554032,-1.728514,,
14:52:56:886,-4.940872,1.554068,-1.740888,,
14:52:56:920,-4.934919,1.553906,-1.753888,,
14:52:56:954,-4.930399,1.553559,-1.767396,,
14:52:56:987,-4.927059,1.553139,-1.781579,,
14:52:57:021,-4.925034,1.552779,-1.796446,,
14:52:57:054,-4.924253,1.552345,-1.811488,,
14:52:57:088,-4.924837,1.551844,-1.82724,,
14:52:57:121,-4.92658,1.551177,-1.843268,,
14:52:57:154,-4.929546,1.55005,-1.859729,,
14:52:57:187,-4.933711,1.548391,-1.876317,,
14:52:57:221,-4.938756,1.546394,-1.893076,,
14:52:57:254,-4.944448,1.545334,-1.909904,,
14:52:57:288,-4.950958,1.546246,-1.927369,,
14:52:57:321,-4.957352,1.548999,-1.944674,,
14:52:57:355,-4.963701,1.552611,-1.962623,,
14:52:57:388,-4.969486,1.556505,-1.981324,,
14:52:57:422,-4.974728,1.560014,-2.000988,,
14:52:57:456,-4.978988,1.562595,-2.02094,,
14:52:57:488,-4.982195,1.563907,-2.040249,,
14:52:57:522,-4.984477,1.563916,-2.05943,,
14:52:57:555,-4.985756,1.563273,-2.078667,,
14:52:57:589,-4.985933,1.562225,-2.098649,,
14:52:57:623,-4.985386,1.561049,-2.118773,,
14:52:57:656,-4.98376,1.559465,-2.139695,,
14:52:57:689,-4.981471,1.557213,-2.160882,,
14:52:57:722,-4.978487,1.554215,-2.182104,,
14:52:57:755,-4.974654,1.550597,-2.203875,,
14:52:57:789,-4.970238,1.546664,-2.226586,,
14:52:57:823,-4.965238,1.542533,-2.249732,,
14:52:57:856,-4.959648,1.53801,-2.273403,,
14:52:57:889,-4.953768,1.53332,-2.297458,,
14:52:57:922,-4.94791,1.530295,-2.323102,,
14:52:57:956,-4.942175,1.527577,-2.350687,,
14:52:57:990,-4.93689,1.524022,-2.378481,,
14:52:58:023,-4.932233,1.518846,-2.406835,,
14:52:58:056,-4.928324,1.512724,-2.435676,,
14:52:58:090,-4.924905,1.505536,-2.465947,,
14:52:58:124,-4.921969,1.496029,-2.496826,,
14:52:58:157,-4.919355,1.484155,-2.528054,,
14:52:58:190,-4.916915,1.470392,-2.557936,,
14:52:58:223,-4.914523,1.453276,-2.58847,,
14:52:58:256,-4.912175,1.433423,-2.617541,,
14:52:58:290,-4.909692,1.40985,-2.646586,,
14:52:58:323,-4.907218,1.383405,-2.673466,,
14:52:58:357,-4.904549,1.35338,-2.699256,,
14:52:58:390,-4.90191,1.321216,-2.723255,,
14:52:58:424,-4.899284,1.287573,-2.744783,,
14:52:58:457,-4.896626,1.253893,-2.763593,,
14:52:58:490,-4.894102,1.222286,-2.779779,,
14:52:58:506,,,,,
14:52:58:524,-4.891236,1.193108,-2.793224,,
14:52:58:557,-4.888119,1.168669,-2.804437,,
14:52:58:591,-4.885371,1.148793,-2.813258,,
14:52:58:624,-4.883222,1.133626,-2.820155,,
14:52:58:657,-4.881715,1.122484,-2.82526,,
14:52:58:691,-4.880546,1.113739,-2.82965,,
14:52:58:724,-4.879539,1.105802,-2.832917,,
14:52:58:758,-4.878604,1.098112,-2.83531,,
14:52:58:791,-4.877647,1.090711,-2.836795,,
14:52:58:824,-4.876638,1.083824,-2.83773,,
14:52:58:858,-4.875307,1.077776,-2.838321,,
14:52:58:892,-4.873889,1.07254,-2.838575,,
14:52:58:924,-4.87251,1.06875,-2.838618,,
14:52:58:959,-4.871214,1.066474,-2.838251,,
14:52:58:992,-4.869906,1.065986,-2.837417,,
14:52:59:024,-4.868587,1.067724,-2.836395,,
14:52:59:058,-4.866928,1.071876,-2.835892,,
14:52:59:092,-4.865494,1.07895,-2.833792,,
14:52:59:125,-4.864052,1.089238,-2.831248,,
14:52:59:159,-4.862582,1.102304,-2.828298,,
14:52:59:191,-4.861066,1.118735,-2.824443,,
14:52:59:225,-4.859557,1.138128,-2.819589,,
14:52:59:259,-4.858017,1.160231,-2.813216,,
14:52:59:291,-4.856565,1.182459,-2.805772,,
14:52:59:325,-4.855535,1.20597,-2.796009,,
14:52:59:359,-4.854929,1.228442,-2.783772,,
14:52:59:392,-4.854273,1.249206,-2.768998,,
14:52:59:424,-4.853375,1.267939,-2.752484,,
14:52:59:458,-4.852155,1.285065,-2.734359,,
14:52:59:492,-4.849854,1.300994,-2.715868,,
14:52:59:525,-4.846725,1.314328,-2.696826,,
14:52:59:559,-4.842401,1.326767,-2.677175,,
14:52:59:592,-4.836955,1.33701,-2.658682,,
14:52:59:625,-4.830745,1.345945,-2.639931,,
14:52:59:659,-4.824239,1.353571,-2.621635,,
14:52:59:693,-4.817559,1.360957,-2.60371,,
14:52:59:726,-4.810838,1.368002,-2.585819,,
14:52:59:760,-4.804249,1.375627,-2.567398,,
14:52:59:793,-4.798001,1.383528,-2.549805,,
14:52:59:826,-4.792045,1.391356,-2.532198,,
14:52:59:860,-4.786397,1.399883,-2.514748,,
14:52:59:893,-4.781224,1.409207,-2.498331,,
14:52:59:926,-4.776538,1.419974,-2.482554,,
14:52:59:959,-4.772544,1.431885,-2.467073,,
14:52:59:994,-4.768583,1.444107,-2.452085,,
14:53:00:026,-4.765079,1.456159,-2.437381,,
14:53:00:060,-4.761907,1.467387,-2.423978,,
14:53:00:093,-4.759025,1.477316,-2.411628,,
14:53:00:127,-4.75638,1.485714,-2.40029,,
14:53:00:160,-4.754241,1.492305,-2.391172,,
14:53:00:194,-4.752382,1.49724,-2.384444,,
14:53:00:227,-4.750576,1.5008,-2.379648,,
14:53:00:260,-4.749047,1.502928,-2.377198,,
14:53:00:294,-4.747916,1.503974,-2.37667,,
14:53:00:327,-4.747309,1.503953,-2.377819,,
14:53:00:360,-4.7473,1.503261,-2.380706,,
14:53:00:393,-4.747745,1.502057,-2.385193,,
14:53:00:426,-4.748347,1.50054,-2.390863,,
14:53:00:461,-4.749423,1.498378,-2.398114,,
14:53:00:494,-4.750774,1.496213,-2.405951,,
14:53:00:528,-4.752446,1.493586,-2.414587,,
14:53:00:561,-4.754488,1.490818,-2.423771,,
14:53:00:594,-4.757071,1.488037,-2.433813,,
14:53:00:627,-4.760092,1.485456,-2.444445,,
14:53:00:661,-4.763734,1.48304,-2.456083,,
14:53:00:694,-4.767716,1.480678,-2.468203,,
14:53:00:728,-4.772432,1.478146,-2.481485,,
14:53:00:761,-4.777817,1.475439,-2.495758,,
14:53:00:794,-4.783882,1.471974,-2.511785,,
14:53:00:828,-4.790618,1.46801,-2.529559,,
14:53:00:861,-4.797926,1.463101,-2.549235,,
14:53:00:895,-4.805897,1.456774,-2.571473,,
14:53:00:929,-4.814393,1.448147,-2.596281,,
14:53:00:962,-4.823063,1.437117,-2.622819,,
14:53:00:995,-4.83186,1.423394,-2.650885,,
14:53:01:028,-4.84043,1.407123,-2.680501,,
14:53:01:061,-4.847962,1.387355,-2.709514,,
14:53:01:095,-4.854636,1.364699,-2.737737,,
14:53:01:129,-4.860063,1.340468,-2.764876,,
14:53:01:162,-4.864178,1.315951,-2.789411,,
14:53:01:195,-4.867522,1.291645,-2.811756,,
14:53:01:229,-4.870547,1.267135,-2.832304,,
14:53:01:262,-4.873065,1.24275,-2.850453,,
14:53:01:296,-4.875347,1.218555,-2.865812,,
14:53:01:329,-4.877206,1.194973,-2.878795,,
14:53:01:362,-4.878043,1.172226,-2.889589,,
14:53:01:396,-4.877907,1.151262,-2.898848,,
14:53:01:429,-4.876911,1.132673,-2.906548,,
14:53:01:463,-4.875366,1.11639,-2.913126,,
14:53:01:496,-4.873846,1.102319,-2.918818,,
14:53:01:529,,,,,
14:53:01:530,,,,,
14:53:01:531,,,,,
14:53:01:531,,,,,
14:53:01:531,-4.87233,1.09027,-2.922959,,
14:53:01:563,-4.870812,1.079947,-2.926394,,
14:53:01:596,-4.869446,1.071284,-2.929039,,
14:53:01:630,-4.868453,1.064252,-2.93062,,
14:53:01:663,-4.867777,1.059294,-2.931379,,
14:53:01:696,-4.867674,1.055449,-2.931824,,
14:53:01:730,-4.867647,1.05332,-2.93142,,
14:53:01:764,-4.867921,1.052026,-2.93117,,
14:53:01:798,-4.867956,1.052271,-2.930546,,
14:53:01:831,-4.867955,1.053817,-2.929665,,
14:53:01:863,-4.867732,1.057131,-2.928433,,
14:53:01:896,-4.867229,1.062342,-2.927115,,
14:53:01:931,-4.866352,1.071615,-2.925435,,
14:53:01:964,-4.865202,1.084208,-2.923532,,
14:53:01:998,-4.863822,1.101699,-2.920984,,
14:53:02:031,-4.862325,1.123528,-2.917726,,
14:53:02:065,-4.860648,1.149133,-2.913208,,
14:53:02:097,-4.858798,1.177356,-2.907226,,
14:53:02:131,-4.85672,1.208453,-2.898942,,
14:53:02:164,-4.854883,1.240257,-2.888438,,
14:53:02:198,-4.852435,1.273132,-2.874946,,
14:53:02:230,-4.849671,1.306021,-2.858372,,
14:53:02:264,-4.847032,1.338382,-2.838238,,
14:53:02:298,-4.844335,1.368797,-2.814272,,
14:53:02:331,-4.841534,1.396513,-2.788049,,
14:53:02:364,-4.838093,1.420933,-2.759476,,
14:53:02:398,-4.83418,1.441033,-2.72925,,
14:53:02:431,-4.830247,1.457685,-2.697967,,
14:53:02:464,-4.825772,1.471137,-2.666179,,
14:53:02:498,-4.82044,1.481437,-2.634351,,
14:53:02:532,-4.814238,1.490281,-2.601886,,
14:53:02:564,-4.80733,1.496738,-2.571711,,
14:53:02:598,-4.799053,1.50277,-2.541122,,
14:53:02:632,-4.789912,1.507362,-2.512949,,
14:53:02:665,-4.78091,1.511387,-2.486589,,
14:53:02:698,-4.772115,1.515834,-2.461667,,
14:53:02:732,-4.76364,1.519664,-2.437696,,
14:53:02:765,-4.755959,1.523426,-2.416224,,
14:53:02:799,-4.748829,1.527036,-2.396348,,
14:53:02:832,-4.742676,1.530204,-2.378376,,
14:53:02:865,-4.737351,1.533592,-2.361845,,
14:53:02:899,-4.732761,1.537381,-2.347024,,
14:53:02:932,-4.728801,1.540418,-2.333703,,
14:53:02:965,-4.725214,1.543882,-2.321735,,
14:53:02:998,-4.722491,1.546431,-2.311159,,
14:53:03:032,-4.720121,1.549288,-2.301201,,
14:53:03:065,-4.718626,1.55144,-2.293133,,
14:53:03:099,-4.71758,1.552852,-2.286014,,
14:53:03:132,-4.716712,1.554325,-2.279912,,
14:53:03:165,-4.716243,1.556149,-2.27436,,
14:53:03:199,-4.716323,1.558005,-2.269847,,
14:53:03:233,-4.716719,1.55919,-2.265881,,
14:53:03:266,-4.717334,1.559508,-2.262874,,
14:53:03:299,-4.718289,1.559368,-2.260479,,
14:53:03:334,-4.719231,1.558645,-2.258554,,
14:53:03:366,-4.719787,1.557691,-2.256585,,
14:53:03:400,-4.720207,1.556242,-2.254884,,
14:53:03:433,-4.720362,1.55499,-2.253271,,
14:53:03:466,-4.72044,1.554202,-2.252044,,
14:53:03:499,-4.720422,1.553824,-2.251498,,
14:53:03:533,-4.720556,1.553554,-2.251264,,
14:53:03:566,-4.720524,1.553411,-2.250796,,
14:53:03:601,-4.720617,1.553151,-2.250681,,
14:53:03:633,-4.720743,1.552839,-2.250568,,
14:53:03:666,-4.720941,1.552562,-2.25044,,
14:53:03:700,-4.721265,1.552339,-2.250469,,
14:53:03:734,-4.721672,1.552123,-2.250547,,
14:53:03:767,-4.722105,1.551953,-2.250524,,
14:53:03:801,-4.722508,1.551887,-2.250696,,
14:53:03:833,-4.722837,1.551926,-2.251012,,
14:53:03:867,-4.722982,1.551957,-2.251548,,
14:53:03:901,-4.722991,1.551983,-2.252297,,
14:53:03:934,-4.722781,1.552056,-2.253247,,
14:53:03:967,-4.722646,1.552445,-2.254326,,
14:53:04:001,-4.722261,1.553666,-2.255979,,
14:53:04:034,-4.72179,1.556259,-2.258043,,
14:53:04:068,-4.720995,1.560525,-2.260262,,
14:53:04:101,-4.719878,1.565598,-2.262076,,
14:53:04:134,-4.718468,1.57124,-2.263386,,
14:53:04:168,-4.716941,1.576887,-2.264118,,
14:53:04:202,-4.715426,1.582852,-2.26448,,
14:53:04:235,-4.713875,1.588112,-2.264335,,
14:53:04:268,-4.711987,1.591828,-2.264022,,
14:53:04:302,-4.710214,1.594306,-2.263503,,
14:53:04:335,-4.70834,1.595651,-2.263496,,
14:53:04:368,-4.706724,1.59524,-2.263129,,
14:53:04:401,-4.704905,1.594033,-2.263741,,
14:53:04:435,-4.703203,1.592065,-2.265315,,
14:53:04:468,-4.701676,1.589509,-2.268127,,
14:53:04:502,-4.700595,1.587004,-2.272554,,
14:53:04:536,-4.699981,1.58433,-2.279029,,
14:53:04:569,-4.700304,1.582142,-2.287007,,
14:53:04:602,-4.701534,1.580423,-2.296346,,
14:53:04:636,-4.703806,1.579175,-2.30714,,
14:53:04:669,-4.707141,1.578348,-2.319635,,
14:53:04:703,-4.711364,1.577551,-2.334219,,
14:53:04:736,-4.716541,1.57655,-2.350119,,
14:53:04:769,-4.722307,1.575534,-2.367104,,
14:53:04:803,-4.728867,1.574228,-2.385825,,
14:53:04:836,-4.735921,1.57308,-2.405432,,
14:53:04:870,-4.74363,1.572471,-2.426116,,
14:53:04:902,,,,,
14:53:04:903,,,,,
14:53:04:904,-4.752085,1.574097,-2.448267,,
14:53:04:923,-4.757651,1.575397,-2.46245,,
14:53:04:952,-4.765588,1.577477,-2.48199,,
14:53:04:985,-4.774617,1.579063,-2.503287,,
14:53:05:019,-4.783233,1.580063,-2.523322,,
14:53:05:052,-4.790952,1.580664,-2.541368,,
14:53:05:085,-4.797411,1.580852,-2.557181,,
14:53:05:119,-4.802737,1.580616,-2.57034,,
14:53:05:153,-4.807109,1.580368,-2.580289,,
14:53:05:186,-4.810525,1.580277,-2.586998,,
14:53:05:219,-4.812582,1.580123,-2.590811,,
14:53:05:253,-4.813439,1.579854,-2.591764,,
14:53:05:286,-4.813245,1.579773,-2.590086,,
14:53:05:319,-4.811773,1.58,-2.586058,,
14:53:05:353,-4.808947,1.580191,-2.579582,,
14:53:05:387,-4.804338,1.580123,-2.570808,,
14:53:05:420,-4.798316,1.579633,-2.559984,,
14:53:05:453,-4.790787,1.578518,-2.546879,,
14:53:05:486,-4.781968,1.576352,-2.531598,,
14:53:05:520,-4.772235,1.572834,-2.514089,,
14:53:05:553,-4.761851,1.567904,-2.494687,,
14:53:05:586,-4.751533,1.562505,-2.473877,,
14:53:05:620,-4.741408,1.557415,-2.452213,,
14:53:05:653,-4.732089,1.553865,-2.430956,,
14:53:05:686,-4.723476,1.551062,-2.409925,,
14:53:05:720,-4.715911,1.548766,-2.389485,,
14:53:05:754,-4.709117,1.547821,-2.369159,,
14:53:05:787,-4.704026,1.549982,-2.350157,,
14:53:05:820,-4.700501,1.554356,-2.332492,,
14:53:05:854,-4.698281,1.55945,-2.314883,,
14:53:05:887,-4.697238,1.563761,-2.297699,,
14:53:05:921,-4.697015,1.566637,-2.280057,,
14:53:05:954,-4.697447,1.568203,-2.262066,,
14:53:05:987,-4.698712,1.568853,-2.243473,,
14:53:06:021,-4.700874,1.569521,-2.225065,,
14:53:06:057,-4.704194,1.570577,-2.204492,,
14:53:06:088,-4.707767,1.571763,-2.187291,,
14:53:06:121,-4.712665,1.573298,-2.168478,,
14:53:06:154,-4.718601,1.574973,-2.14936,,
14:53:06:188,-4.725591,1.576312,-2.13012,,
14:53:06:222,-4.733696,1.576855,-2.110488,,
14:53:06:255,-4.742712,1.576426,-2.090756,,
14:53:06:288,-4.752898,1.57526,-2.070749,,
14:53:06:322,-4.764275,1.574435,-2.051372,,
14:53:06:356,-4.777057,1.573421,-2.032139,,
14:53:06:388,-4.790349,1.572018,-2.014048,,
14:53:06:422,-4.804208,1.569609,-1.996696,,
14:53:06:455,-4.81852,1.567155,-1.981318,,
14:53:06:489,-4.833811,1.565796,-1.967771,,
14:53:06:522,-4.849176,1.564497,-1.956343,,
14:53:06:555,-4.864101,1.562777,-1.946819,,
14:53:06:588,-4.878972,1.560659,-1.938772,,
14:53:06:622,-4.893838,1.558479,-1.931983,,
14:53:06:656,-4.908994,1.556409,-1.926532,,
14:53:06:689,-4.923843,1.554544,-1.922578,,
14:53:06:722,-4.938432,1.55314,-1.919732,,
14:53:06:756,-4.952367,1.55175,-1.918162,,
14:53:06:789,-4.965184,1.550621,-1.91778,,
14:53:06:823,-4.976974,1.549444,-1.918515,,
14:53:06:857,-4.98745,1.54794,-1.920436,,
14:53:06:889,-4.996701,1.546541,-1.923401,,
14:53:06:906,,,,,
14:53:06:923,-5.006251,1.54685,-1.927707,,
14:53:06:956,-5.015419,1.547695,-1.932361,,
14:53:06:990,-5.024181,1.548537,-1.936665,,
14:53:07:023,-5.03225,1.548903,-1.940174,,
14:53:07:056,-5.039793,1.549173,-1.9429,,
14:53:07:090,-5.046895,1.549184,-1.945117,,
14:53:07:123,-5.053058,1.548589,-1.946589,,
14:53:07:157,-5.058525,1.547343,-1.947361,,
14:53:07:190,-5.063763,1.545814,-1.947883,,
14:53:07:224,-5.069337,1.544287,-1.948324,,
14:53:07:257,-5.075627,1.542897,-1.948794,,
14:53:07:290,-5.083309,1.541563,-1.949553,,
14:53:07:323,-5.092542,1.539892,-1.950419,,
14:53:07:357,-5.103246,1.537195,-1.951549,,
14:53:07:391,-5.115084,1.533239,-1.952958,,
14:53:07:424,-5.127689,1.527925,-1.954872,,
14:53:07:457,-5.141541,1.520442,-1.957401,,
14:53:07:491,-5.155613,1.510945,-1.960299,,
14:53:07:524,-5.170582,1.499059,-1.964257,,
14:53:07:558,-5.1861,1.48344,-1.969026,,
14:53:07:591,-5.202089,1.463848,-1.974814,,
14:53:07:625,-5.218272,1.439745,-1.981626,,
14:53:07:658,-5.233189,1.411214,-1.988501,,
14:53:07:691,-5.246475,1.378977,-1.994952,,
14:53:07:724,-5.257956,1.343689,-2.001087,,
14:53:07:758,-5.267405,1.306718,-2.006767,,
14:53:07:791,-5.274732,1.26995,-2.011961,,
14:53:07:824,-5.280612,1.233931,-2.016619,,
14:53:07:858,-5.284944,1.199731,-2.020246,,
14:53:07:892,-5.288391,1.167041,-2.023006,,
14:53:07:925,-5.290885,1.136295,-2.024825,,
14:53:07:958,-5.292006,1.107227,-2.025876,,
14:53:07:975,,,,,
14:53:07:975,,,,,
14:53:07:975,,,,,
14:53:07:975,,,,,
14:53:07:992,-5.29199,1.08013,-2.026447,,
14:53:08:025,-5.291606,1.05709,-2.026668,,
14:53:08:059,-5.290606,1.036761,-2.02661,,
14:53:08:092,-5.28928,1.020738,-2.02626,,
14:53:08:125,-5.288235,1.008478,-2.025956,,
14:53:08:158,-5.287002,1.000209,-2.025474,,
14:53:08:192,-5.285769,0.9961569,-2.025106,,
14:53:08:225,-5.284594,0.997225,-2.025046,,
14:53:08:259,-5.283435,1.00354,-2.025679,,
14:53:08:292,-5.282268,1.014466,-2.026011,,
14:53:08:325,-5.281169,1.030107,-2.026349,,
14:53:08:359,-5.279952,1.050713,-2.026397,,
14:53:08:393,-5.278417,1.074789,-2.025907,,
14:53:08:425,-5.276344,1.10243,-2.024836,,
14:53:08:459,-5.273451,1.133307,-2.022598,,
14:53:08:492,-5.269458,1.165788,-2.019279,,
14:53:08:526,-5.264254,1.199395,-2.014509,,
14:53:08:560,-5.257564,1.234543,-2.008126,,
14:53:08:592,-5.249842,1.2688,-2.000017,,
14:53:08:625,-5.240437,1.303183,-1.989831,,
14:53:08:659,-5.229424,1.337408,-1.977538,,
14:53:08:692,-5.216748,1.369024,-1.963344,,
14:53:08:726,-5.201479,1.399132,-1.947573,,
14:53:08:759,-5.184125,1.425648,-1.931341,,
14:53:08:793,-5.165215,1.448799,-1.914262,,
14:53:08:827,-5.145086,1.468761,-1.896797,,
14:53:08:860,-5.1243,1.485443,-1.878982,,
14:53:08:893,-5.103175,1.498574,-1.861727,,
14:53:08:926,-5.080581,1.508916,-1.843913,,
14:53:08:960,-5.057399,1.516836,-1.82655,,
14:53:08:994,-5.034459,1.522803,-1.810117,,
14:53:09:026,-5.01161,1.526868,-1.794473,,
14:53:09:060,-4.989116,1.529303,-1.779668,,
14:53:09:094,-4.96677,1.530323,-1.765291,,
14:53:09:126,-4.945506,1.530663,-1.751736,,
14:53:09:161,-4.925117,1.530556,-1.738817,,
14:53:09:194,-4.906347,1.530323,-1.727111,,
14:53:09:226,-4.88876,1.530526,-1.716386,,
14:53:09:261,-4.872158,1.531218,-1.706252,,
14:53:09:294,-4.856635,1.532361,-1.696709,,
14:53:09:327,-4.84268,1.534095,-1.687932,,
14:53:09:361,-4.830182,1.536692,-1.680112,,
14:53:09:394,-4.819188,1.539627,-1.672969,,
14:53:09:428,-4.809445,1.542273,-1.666224,,
14:53:09:461,-4.800849,1.544218,-1.65949,,
14:53:09:494,-4.793301,1.545839,-1.652744,,
14:53:09:528,-4.786894,1.54713,-1.646037,,
14:53:09:561,-4.781873,1.548466,-1.639727,,
14:53:09:595,-4.777886,1.549884,-1.633689,,
14:53:09:628,-4.775093,1.55127,-1.628119,,
14:53:09:662,-4.773455,1.552604,-1.622941,,
